name,street,city,state,postcode,phone,lat,lon,page_url
Healthy Food & Meal Prep – Clean Eatz Alabama Restaurant Locations,203 Racine Drive,Wilmington,NC,28403,(910) 452-3733,,,https://locations.cleaneatz.com/al/
Auburn Healthy Food & Meal Prep – Clean Eatz Restaurant,1800 Samford Trace Ct #230,Auburn,AL,36830,,32.6024268,-85.4406994,https://locations.cleaneatz.com/al/auburn/meal-prep-145.html
Hoover Healthy Food & Meal Prep – Clean Eatz Restaurant,"1021 Brocks Gap Pkwy, STE 141",Hoover,AL,35244,,33.345932,-86.8493576,https://locations.cleaneatz.com/al/hoover/meal-prep-80.html
Mobile Healthy Food & Meal Prep – Clean Eatz Restaurant,7335 Airport Blvd,Mobile,AL,36608,,30.6864523,-88.2169095,https://locations.cleaneatz.com/al/mobile/meal-prep-2.html
Tuscaloosa Healthy Food & Meal Prep – Clean Eatz Restaurant,"2008 University Blvd., SUITE A",Tuscaloosa,AL,35401,,33.21164792,-87.56373444,https://locations.cleaneatz.com/al/tuscaloosa/meal-prep-122.html
Glendale Healthy Food & Meal Prep – Clean Eatz Restaurant,"5870 W. Thunderbird Road, Suite A4",Glendale,AZ,85306,,33.6125597,-112.1849525,https://locations.cleaneatz.com/az/glendale/meal-prep-56.html
Phoenix Healthy Food & Meal Prep – Clean Eatz Restaurant,4722 East Ray Rd #9,Phoenix,AZ,85044,,33.321708,-111.981863,https://locations.cleaneatz.com/az/phoenix/meal-prep-149.html
Scottsdale Healthy Food & Meal Prep – Clean Eatz Restaurant,17050 N Thompson Peak Parkway #120,Scottsdale,AZ,85255,,33.6415754,-111.8616668,https://locations.cleaneatz.com/az/scottsdale/meal-prep-144.html
Colorado Springs Healthy Food & Meal Prep – Clean Eatz Restaurant,5118 N Nevada Avenue,Colorado Springs,CO,80918,,38.90321763,-104.81931318,https://locations.cleaneatz.com/co/coloradosprings/meal-prep-135.html
Fort Collins Healthy Food & Meal Prep – Clean Eatz Restaurant,103 West Harvard St.,Fort Collins,CO,80525,,40.548904,-105.077673,https://locations.cleaneatz.com/co/fortcollins/meal-prep-148.html
Johnstown Healthy Food & Meal Prep – Clean Eatz Restaurant,4838 Larimer Parkway,Johnstown,CO,80534,,40.4064492,-104.9744119,https://locations.cleaneatz.com/co/johnstown/meal-prep-64.html
Pueblo Healthy Food & Meal Prep – Clean Eatz Restaurant,201 S. Union Avenue,Pueblo,CO,81003,,38.264386,-104.613888,https://locations.cleaneatz.com/co/pueblo/meal-prep-158.html
Newtown Healthy Food & Meal Prep – Clean Eatz Restaurant,266 S Main St,Newtown,CT,06470,,41.3687464,-73.2727641,https://locations.cleaneatz.com/ct/newtown/meal-prep-142.html
Dover Healthy Food & Meal Prep – Clean Eatz Restaurant,1128 Forrest Ave C,Dover,DE,19904,,39.1583718,-75.547176,https://locations.cleaneatz.com/de/dover/meal-prep-154.html
Belleair Bluffs Healthy Food & Meal Prep – Clean Eatz Restaurant,2927 West Bay Dr.,Belleair Bluffs,FL,33770,,27.9174109,-82.8192271,https://locations.cleaneatz.com/fl/belleairbluffs/meal-prep-101.html
Boynton Beach Healthy Food & Meal Prep – Clean Eatz Restaurant,701 N Congress Ave,Boynton Beach,FL,33426,,26.5353504,-80.0913673,https://locations.cleaneatz.com/fl/boyntonbeach/meal-prep-143.html
Coconut Creek Healthy Food & Meal Prep – Clean Eatz Restaurant,4800 W Hillsboro Blvd Suite A10,Coconut Creek,FL,33073,,26.3163889,-80.1891743,https://locations.cleaneatz.com/fl/coconutcreek/meal-prep-138.html
Jacksonville Healthy Food & Meal Prep – Clean Eatz Restaurant,4828 W Deer Lake Dr Suite 1,Jacksonville,FL,32246,,30.25864791,-81.55395507,https://locations.cleaneatz.com/fl/jacksonville/meal-prep-97.html
Jacksonville Healthy Food & Meal Prep – Clean Eatz Restaurant,140 Little Cypress Dr.  Suite 101,Jacksonville,FL,32259,,30.1040861,-81.4811391,https://locations.cleaneatz.com/fl/jacksonville/meal-prep-141.html
Lake Mary Healthy Food & Meal Prep – Clean Eatz Restaurant,438 Rinehart Rd #1050,Lake Mary,FL,32746,,28.77136861,-81.34779444,https://locations.cleaneatz.com/fl/lakemary/meal-prep-128.html
Orlando Healthy Food & Meal Prep – Clean Eatz Restaurant,2205 S Orange Ave. Unit A,Orlando,FL,32806,,28.5172362,-81.3761372,https://locations.cleaneatz.com/fl/orlando/meal-prep-88.html
Pensacola Healthy Food & Meal Prep – Clean Eatz Restaurant,800 North Navy Blvd.,Pensacola,FL,32507,,30.4008613,-87.2768904,https://locations.cleaneatz.com/fl/pensacola/meal-prep-47.html
Port St. Lucie Healthy Food & Meal Prep – Clean Eatz Restaurant,"10836 SW Village Parkway, Suite 10836",Port St. Lucie,FL,34987,,27.27870368,-80.43380737,https://locations.cleaneatz.com/fl/portst-lucie/meal-prep-115.html
